RefSeq,Organism,Sequence_length,N_penalty,O_penalty,D_penalty,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,oriC_edges_9,oriC_middles_9,xy_oriC_0,xy_oriC_1,xy_oriC_2,xy_oriC_3,xy_oriC_4,xy_oriC_5,xy_oriC_6,xy_oriC_7,xy_oriC_8,xy_oriC_9,xgc_oriC_0,xgc_oriC_1,xgc_oriC_2,xgc_oriC_3,xgc_oriC_4,xgc_oriC_5,xgc_oriC_6,xgc_oriC_7,xgc_oriC_8,xgc_oriC_9,ygc_oriC_0,ygc_oriC_1,ygc_oriC_2,ygc_oriC_3,ygc_oriC_4,ygc_oriC_5,ygc_oriC_6,ygc_oriC_7,ygc_oriC_8,ygc_oriC_9
NZ_ABCY02000001.1,"Borreliella valaisiana VS116 chromosome, whole genome shotgun sequence",913294,0.0,0,[238700],False,"(471704, 472204)",471954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,471954,nan,nan,nan,nan,nan,nan,nan,nan,nan,471715,nan,nan,nan,nan,nan,nan,nan,nan,nan,459780,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_012806.1,"Mesomycoplasma conjunctivae, complete sequence",846214,0.0034010309448910085,0,"[184230, 233910]",True,"(776875, 777375)",777125,"(78671, 79171)",78921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,777125,78921,nan,nan,nan,nan,nan,nan,nan,nan,79,686739,nan,nan,nan,nan,nan,nan,nan,nan,299362,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP022511.1,Mesoplasma coleopterae strain BARC 781 chromosome,803948,0.0020859558080870903,2,[3490],False,"(803524, 75)",803774,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,803774,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AHCF03000004.1,"Pseudoalteromonas undina strain DSM 6065 chromosome II, whole genome shotgun sequence",774670,0.0,0,"[208100, 188540]",False,"(10430, 10930)",10680,"(765267, 765767)",765517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10680,765517,nan,nan,nan,nan,nan,nan,nan,nan,1126,217506,701192,nan,nan,nan,nan,nan,nan,nan,10553,765391,nan,nan,nan,nan,nan,nan,nan,nan
NC_016842.1,"Treponema pallidum subsp. pertenue str. SamoaD, complete sequence",1139330,0.00020187303064081523,0,[8920],False,"(2609, 3109)",2859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2859,nan,nan,nan,nan,nan,nan,nan,nan,nan,2239,nan,nan,nan,nan,nan,nan,nan,nan,nan,2685,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AQHE01000022.1,"Pseudoalteromonas paragorgicola KMM 3548 chromosome II, whole genome shotgun sequence",697863,0.0,0,"[129210, 77720, 102510]",True,"(3783, 4283)",4033,"(71256, 71756)",71506,"(225441, 225941)",225691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4033,71506,225691,nan,nan,nan,nan,nan,nan,nan,71454,90,663904,nan,nan,nan,nan,nan,nan,nan,66328,3976,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP051120.1,Vibrio navarrensis strain 0053-83 chromosome 2,1226126,0.00016311537313457182,0,"[20280, 11600]",False,"(158629, 159129)",158879,"(1225552, 1226052)",1225802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,158879,1225802,nan,nan,nan,nan,nan,nan,nan,nan,158863,nan,nan,nan,nan,nan,nan,nan,nan,nan,159877,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AQHH01000021.1,"Pseudoalteromonas prydzensis ACAM 620 chromosome II, whole genome shotgun sequence",1099445,0.0,0,[122950],False,"(7174, 7674)",7424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7424,nan,nan,nan,nan,nan,nan,nan,nan,nan,1272,nan,nan,nan,nan,nan,nan,nan,nan,nan,7420,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR698962.1,Acidaminococcus intestini isolate MGYG-HGUT-01440 chromosome 1,2287856,0.01922061528347938,0,[102170],False,"(1680879, 1681379)",1681129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1681129,nan,nan,nan,nan,nan,nan,nan,nan,nan,1681127,nan,nan,nan,nan,nan,nan,nan,nan,nan,1676019,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LT838272.1,Thermanaeromonas toyohensis ToBE chromosome I,3334124,2.9992885687514923e-05,0,[8540],False,"(1109, 1609)",1359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1359,nan,nan,nan,nan,nan,nan,nan,nan,nan,1358,nan,nan,nan,nan,nan,nan,nan,nan,nan,1785,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LT984806.1,Cupriavidus neocaledonicus isolate Cupriavidus taiwanensis STM 6160 chromosome I,3638823,2.7481413632924712e-05,0,[962590],False,"(3606760, 3607260)",3607010,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3607010,nan,nan,nan,nan,nan,nan,nan,nan,nan,3558056,nan,nan,nan,nan,nan,nan,nan,nan,nan,3606186,3241448,2908371,nan,nan,nan,nan,nan,nan,nan
NZ_LR698963.1,Dermabacter jinjuensis isolate MGYG-HGUT-01448 chromosome 1,2377736,0.006917504718774498,0,[260520],False,"(643665, 644165)",643915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,643915,nan,nan,nan,nan,nan,nan,nan,nan,nan,636581,nan,nan,nan,nan,nan,nan,nan,nan,nan,649607,240960,1286124,nan,nan,nan,nan,nan,nan,nan
NZ_LT984417.1,"Latilactobacillus fuchuensis strain MFPC41A2801 chromosome I, whole genome shotgun sequence",2045293,0.004889275032965937,0,"[204810, 507120]",False,"(21552, 22052)",21802,"(2031248, 2031748)",2031498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21802,2031498,nan,nan,nan,nan,nan,nan,nan,nan,12832,nan,nan,nan,nan,nan,nan,nan,nan,nan,2032768,23072,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR607336.1,Klebsiella grimontii strain 4928STDY7071328 chromosome 1,6099119,0.24567056324036307,0,"[88270, 96050]",True,"(4172, 4672)",4422,"(4089659, 4090159)",4089909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4422,4089909,nan,nan,nan,nan,nan,nan,nan,nan,5677,4089734,nan,nan,nan,nan,nan,nan,nan,nan,1264,4094536,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LT907842.1,Pseudomonas fluorescens strain ATCC 13525 chromosome I,6511547,1.535733367201373e-05,0,[98190],False,"(2156859, 2157359)",2157109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2157109,nan,nan,nan,nan,nan,nan,nan,nan,nan,2157106,nan,nan,nan,nan,nan,nan,nan,nan,nan,2152197,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR025743.1,"Burkholderia stabilis isolate E chromosome II, complete sequence",3499265,0.0,0,[170300],False,"(2382320, 2382820)",2382570,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2382570,nan,nan,nan,nan,nan,nan,nan,nan,nan,2382324,nan,nan,nan,nan,nan,nan,nan,nan,nan,2390839,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LT838813.1,Aquiflexum balticum DSM 16537 chromosome I,5987195,3.340462436917455e-05,2,"[823050, 517550]",False,"(743391, 743891)",743641,"(1316642, 1317142)",1316892,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,743641,1316892,nan,nan,nan,nan,nan,nan,nan,nan,1764325,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR607338.1,Pseudescherichia vulneris strain 4928STDY7071515 chromosome 1,4398823,0.4263915597422311,0,"[363740, 1213860, 240110]",True,"(1323403, 1323903)",1323653,"(2328693, 2329193)",2328943,"(541535, 542035)",541785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1323653,2328943,541785,nan,nan,nan,nan,nan,nan,nan,1306253,538348,2403193,nan,nan,nan,nan,nan,nan,nan,1324440,550354,nan,nan,nan,nan,nan,nan,nan,nan
